packets_per_second,avg_request_rate,failed_connections,unique_ports,bytes_per_packet,connection_duration,payload_entropy,label
103,18.7,18,50,68.94,0.41,2.6,port_scan
78,12.83,21,104,70.25,0.49,2.65,port_scan
124,14.29,15,90,43.92,0.24,3.19,port_scan
51,34.27,11,24,60.33,0.14,1.77,port_scan
22,27.03,20,26,59.96,0.2,2.39,port_scan
36,38.75,26,43,69.7,0.21,2.85,port_scan
60,11.84,13,63,42.92,0.43,1.62,port_scan
86,27.81,27,49,66.9,0.4,1.96,port_scan
50,38.94,35,24,57.26,0.11,1.24,port_scan
62,19.0,34,23,42.56,0.2,1.27,port_scan
113,10.52,11,18,67.86,0.22,1.81,port_scan
66,33.76,13,45,70.85,0.21,2.3,port_scan
63,9.46,27,84,69.39,0.3,2.42,port_scan
60,19.88,35,58,68.54,0.41,1.85,port_scan
134,21.74,32,29,64.98,0.19,2.73,port_scan
81,3.81,33,41,52.75,0.47,2.53,port_scan
29,39.12,30,12,49.4,0.23,2.76,port_scan
85,33.29,17,88,43.97,0.3,1.29,port_scan
67,32.31,24,34,36.88,0.16,1.84,port_scan
105,30.11,42,38,56.72,0.25,1.12,port_scan
74,34.17,25,91,63.45,0.12,1.58,port_scan
51,19.05,32,69,64.77,0.2,2.19,port_scan
79,11.23,15,100,64.89,0.37,1.54,port_scan
127,20.18,35,92,40.03,0.45,2.13,port_scan
26,25.88,25,86,55.69,0.06,1.59,port_scan
20,39.03,27,76,41.4,0.16,2.9,port_scan
72,32.35,22,86,65.11,0.54,2.93,port_scan
91,18.09,10,79,58.49,0.31,2.55,port_scan
118,13.67,35,58,68.54,0.33,1.43,port_scan
45,33.07,23,50,75.75,0.24,2.83,port_scan
76,9.23,8,91,48.41,0.18,2.2,port_scan
128,37.44,35,47,69.18,0.41,1.92,port_scan
60,11.3,30,77,74.57,0.42,2.13,port_scan
90,13.74,14,92,83.03,0.38,2.08,port_scan
111,21.95,29,54,56.98,0.07,2.5,port_scan
19,27.8,32,23,44.39,0.4,2.27,port_scan
103,12.54,33,53,79.8,0.38,2.65,port_scan
65,16.13,28,71,48.65,0.45,1.79,port_scan
106,15.33,36,20,50.27,0.39,1.65,port_scan
70,19.24,33,26,62.08,0.37,2.25,port_scan
80,21.82,13,90,45.04,0.41,2.14,port_scan
92,22.75,12,39,61.18,0.13,0.89,port_scan
60,28.39,16,49,68.82,0.42,3.03,port_scan
108,21.89,42,40,69.5,0.3,2.38,port_scan
35,26.07,15,86,73.49,0.13,1.4,port_scan
86,18.57,34,27,60.72,0.45,2.26,port_scan
16,16.59,18,60,46.06,0.14,2.8,port_scan
77,31.21,39,20,61.48,0.53,2.81,port_scan
68,24.12,14,60,56.94,0.46,2.82,port_scan
96,30.01,23,54,47.52,0.09,1.61,port_scan
69,38.94,21,100,53.84,0.21,1.71,port_scan
26,36.39,29,21,80.76,0.39,1.6,port_scan
107,40.18,19,45,54.79,0.43,1.45,port_scan
18,21.0,31,42,52.54,0.2,1.78,port_scan
84,40.34,19,25,46.44,0.39,2.31,port_scan
65,17.78,38,22,67.95,0.27,2.46,port_scan
116,12.33,40,62,71.54,0.28,2.09,port_scan
50,15.53,26,80,64.6,0.37,2.49,port_scan
64,11.28,23,102,87.73,0.36,1.64,port_scan
79,14.31,37,61,41.37,0.17,2.33,port_scan
50,30.86,33,35,50.25,0.26,2.88,port_scan
93,37.89,28,116,74.86,0.14,2.62,port_scan
48,23.76,23,69,67.49,0.15,1.34,port_scan
92,23.81,36,25,73.59,0.28,1.33,port_scan
93,37.58,25,102,41.56,0.15,2.66,port_scan
108,8.8,13,46,60.5,0.22,1.06,port_scan
45,32.76,27,22,54.54,0.23,1.3,port_scan
19,21.65,25,51,76.29,0.3,2.95,port_scan
92,22.71,16,88,64.08,0.16,1.43,port_scan
31,33.88,12,93,45.48,0.44,1.39,port_scan
120,30.77,29,63,51.86,0.33,1.23,port_scan
74,32.31,33,31,63.87,0.58,1.25,port_scan
33,27.55,16,40,75.37,0.35,1.24,port_scan
73,16.95,19,41,74.99,0.42,2.81,port_scan
28,36.85,14,71,54.74,0.18,1.61,port_scan
105,26.4,32,8,47.78,0.09,1.08,port_scan
22,36.16,13,52,61.83,0.25,1.59,port_scan
62,34.51,20,11,78.52,0.54,1.45,port_scan
57,14.19,17,27,75.22,0.33,2.04,port_scan
67,10.32,37,51,69.76,0.38,0.98,port_scan
102,19.06,25,54,81.39,0.29,2.74,port_scan
97,11.27,16,62,71.79,0.35,1.35,port_scan
68,25.47,34,52,43.98,0.16,1.28,port_scan
37,23.19,13,42,55.64,0.39,1.45,port_scan
63,11.29,21,70,64.32,0.44,1.59,port_scan
34,32.23,14,69,77.86,0.11,2.03,port_scan
16,25.54,24,80,53.64,0.51,1.45,port_scan
95,8.78,36,87,71.98,0.48,1.06,port_scan
34,21.53,16,64,37.03,0.15,2.25,port_scan
72,18.16,40,33,45.66,0.52,1.86,port_scan
123,34.21,22,80,55.03,0.12,2.74,port_scan
80,15.24,31,38,73.55,0.43,2.72,port_scan
35,35.23,13,93,46.15,0.17,1.88,port_scan
66,13.74,14,42,40.43,0.26,2.06,port_scan
111,10.55,24,92,52.33,0.51,1.99,port_scan
130,17.43,21,57,60.11,0.45,2.75,port_scan
38,39.7,14,21,60.46,0.33,1.95,port_scan
25,37.5,42,43,65.36,0.12,1.55,port_scan
75,11.57,38,51,51.06,0.38,1.77,port_scan
34,43.26,11,46,47.35,0.19,1.4,port_scan
61,33.56,41,2,53.07,0.21,2.4,port_scan
58,9.59,37,51,80.03,0.19,2.25,port_scan
87,13.88,39,96,66.72,0.34,1.47,port_scan
123,38.65,28,78,63.16,0.41,3.21,port_scan
88,15.16,18,30,62.9,0.23,2.37,port_scan
57,13.2,33,57,73.93,0.27,1.22,port_scan
7,11.45,33,54,70.08,0.37,1.83,port_scan
59,19.2,10,86,84.67,0.23,0.77,port_scan
98,19.47,30,31,77.51,0.34,0.81,port_scan
27,25.75,18,62,68.92,0.3,1.25,port_scan
50,41.68,10,82,58.53,0.26,1.78,port_scan
94,39.76,24,85,61.89,0.17,2.84,port_scan
66,35.04,18,39,78.07,0.52,1.96,port_scan
91,12.27,35,62,66.62,0.18,1.57,port_scan
118,28.95,39,83,53.98,0.21,2.31,port_scan
36,28.38,26,56,43.39,0.23,1.29,port_scan
22,29.88,23,78,58.43,0.2,2.57,port_scan
16,28.23,20,30,49.31,0.19,0.82,port_scan
47,18.64,37,68,63.21,0.17,2.02,port_scan
49,30.27,25,85,72.04,0.44,1.57,port_scan
63,14.01,23,88,77.88,0.43,1.8,port_scan
131,29.95,37,72,55.16,0.06,0.99,port_scan
100,22.09,34,46,77.49,0.23,2.69,port_scan
121,18.4,28,57,74.61,0.46,2.4,port_scan
55,27.43,16,18,56.12,0.14,1.76,port_scan
22,11.2,21,29,61.54,0.14,1.73,port_scan
105,16.84,22,32,77.32,0.14,1.17,port_scan
115,18.37,36,62,67.63,0.41,2.01,port_scan
47,9.07,22,96,45.88,0.25,3.39,port_scan
110,28.78,13,15,78.99,0.37,3.0,port_scan
94,19.01,14,93,69.49,0.5,1.13,port_scan
81,34.81,42,93,54.45,0.23,2.25,port_scan
51,33.63,32,44,69.94,0.35,0.99,port_scan
25,39.1,23,22,47.37,0.27,1.69,port_scan
50,38.33,22,44,68.98,0.25,2.38,port_scan
112,32.22,10,55,53.04,0.23,2.31,port_scan
52,14.15,8,29,41.96,0.31,1.8,port_scan
58,31.32,20,74,33.05,0.5,2.31,port_scan
13,29.25,14,102,83.55,0.1,1.84,port_scan
80,32.39,10,33,58.98,0.19,1.73,port_scan
66,12.68,32,86,81.82,0.16,2.2,port_scan
105,22.96,20,77,56.02,0.13,2.5,port_scan
68,22.83,16,20,51.93,0.41,2.42,port_scan
109,14.87,27,72,65.78,0.38,3.04,port_scan
81,36.91,41,60,50.41,0.47,1.51,port_scan
51,18.83,22,57,71.61,0.52,1.98,port_scan
113,33.01,7,38,45.07,0.41,3.18,port_scan
47,15.99,38,96,50.27,0.44,2.28,port_scan
67,21.28,15,72,66.74,0.34,1.41,port_scan
85,15.29,23,54,74.93,0.36,1.84,port_scan
71,24.14,14,33,77.07,0.44,2.17,port_scan
9,36.1,24,42,60.4,0.15,2.13,port_scan
11,19.11,26,78,62.17,0.46,2.69,port_scan
79,29.3,34,9,60.14,0.25,2.68,port_scan
89,33.75,18,89,79.74,0.29,2.69,port_scan
72,14.51,22,80,69.26,0.36,2.79,port_scan
31,36.67,15,73,49.02,0.48,1.33,port_scan
50,25.34,32,19,57.34,0.46,1.71,port_scan
109,13.65,37,83,40.17,0.45,2.59,port_scan
26,35.1,9,62,40.27,0.4,2.69,port_scan
19,19.4,31,57,74.8,0.29,2.13,port_scan
100,25.73,29,6,60.97,0.22,1.1,port_scan
44,25.17,35,23,83.92,0.37,2.91,port_scan
103,15.1,18,50,59.7,0.2,2.19,port_scan
51,16.07,8,67,56.29,0.11,2.43,port_scan
61,18.44,29,20,45.63,0.23,2.61,port_scan
86,28.56,14,24,58.79,0.14,1.32,port_scan
48,14.79,17,78,70.38,0.4,2.91,port_scan
90,24.19,31,98,39.46,0.45,2.21,port_scan
91,10.26,22,47,51.82,0.34,1.59,port_scan
104,11.72,35,86,77.3,0.33,2.07,port_scan
123,9.98,23,5,60.66,0.15,2.55,port_scan
65,30.06,24,89,72.42,0.43,2.6,port_scan
53,10.59,22,63,71.41,0.09,1.81,port_scan
73,26.52,12,80,53.63,0.39,1.64,port_scan
98,22.9,21,32,69.31,0.47,2.12,port_scan
67,19.39,27,39,57.95,0.24,3.0,port_scan
95,20.54,28,95,49.7,0.41,2.79,port_scan
74,33.0,28,44,43.69,0.34,3.16,port_scan
87,31.33,24,31,38.69,0.39,2.28,port_scan
62,12.74,16,56,46.76,0.38,3.26,port_scan
100,16.72,34,38,54.26,0.45,2.25,port_scan
79,17.49,23,55,45.55,0.44,1.78,port_scan
92,27.7,17,87,69.99,0.05,1.72,port_scan
55,26.35,19,94,50.41,0.35,2.77,port_scan
111,11.71,37,54,58.96,0.21,2.39,port_scan
77,19.25,30,77,66.73,0.41,2.23,port_scan
55,29.4,40,27,37.31,0.08,2.79,port_scan
131,8.75,19,38,41.0,0.17,2.78,port_scan
40,28.84,34,76,50.15,0.13,0.79,port_scan
79,15.94,25,73,54.16,0.29,0.89,port_scan
38,25.27,21,40,69.94,0.44,1.12,port_scan
105,31.65,42,50,61.04,0.37,1.49,port_scan
24,15.11,39,44,53.65,0.52,2.04,port_scan
128,29.09,37,50,54.9,0.16,1.76,port_scan
109,38.37,40,44,67.75,0.28,1.42,port_scan
93,15.65,13,26,79.06,0.44,2.79,port_scan
75,22.21,13,64,46.85,0.19,1.93,port_scan
75,19.33,34,89,49.99,0.36,2.12,port_scan
114,45.68,9,60,81.25,0.14,1.39,port_scan
69,7.4,36,49,45.75,0.2,1.99,port_scan
89,20.45,31,30,55.65,0.15,1.15,port_scan
27,28.77,18,31,45.38,0.13,1.72,port_scan
105,34.21,10,25,67.85,0.26,2.09,port_scan
60,13.54,40,95,50.55,0.08,2.88,port_scan
12,34.52,32,41,54.98,0.12,1.32,port_scan
65,34.44,25,21,54.0,0.12,1.22,port_scan
47,8.69,25,37,73.63,0.31,1.59,port_scan
50,43.85,22,23,42.14,0.4,2.84,port_scan
50,29.27,14,53,54.17,0.11,3.39,port_scan
63,28.19,21,14,69.72,0.32,2.76,port_scan
76,6.18,21,24,74.38,0.36,2.01,port_scan
24,27.83,15,72,43.03,0.44,2.65,port_scan
12,6.46,14,33,68.77,0.47,1.52,port_scan
56,30.18,27,61,69.43,0.49,2.56,port_scan
43,41.6,29,97,68.25,0.42,3.01,port_scan
20,23.44,29,41,57.35,0.22,1.7,port_scan
115,11.45,39,64,50.91,0.38,2.44,port_scan
37,9.74,10,82,73.86,0.13,0.93,port_scan
49,30.96,37,29,53.02,0.3,1.58,port_scan
128,38.55,21,25,73.21,0.31,1.14,port_scan
59,32.07,18,64,48.05,0.46,2.09,port_scan
3,15.74,17,91,44.94,0.43,1.25,port_scan
48,39.09,25,59,51.31,0.11,1.42,port_scan
67,17.27,15,104,74.36,0.56,2.57,port_scan
30,23.79,32,61,38.74,0.3,2.39,port_scan
64,15.24,26,86,51.18,0.4,1.48,port_scan
57,15.5,34,73,60.31,0.31,2.63,port_scan
49,27.31,25,12,65.74,0.48,1.82,port_scan
61,25.81,13,24,38.22,0.44,2.02,port_scan
100,26.78,23,38,47.75,0.31,1.27,port_scan
89,14.87,21,53,52.61,0.53,2.91,port_scan
94,14.79,23,12,45.83,0.52,1.32,port_scan
68,24.38,39,68,60.73,0.21,2.38,port_scan
127,16.39,38,28,73.33,0.09,1.95,port_scan
21,20.63,18,36,72.45,0.16,2.69,port_scan
117,31.64,31,90,64.49,0.11,2.07,port_scan
67,28.87,37,47,70.16,0.26,1.71,port_scan
70,21.27,22,64,70.99,0.19,2.73,port_scan
109,17.11,13,86,77.18,0.34,1.16,port_scan
119,23.53,36,113,75.99,0.2,2.16,port_scan
51,27.07,8,75,53.68,0.45,1.67,port_scan
86,22.96,23,62,62.55,0.16,1.32,port_scan
114,25.89,33,3,78.71,0.3,0.95,port_scan
110,25.67,32,54,46.99,0.13,1.46,port_scan
44,22.8,30,77,69.21,0.49,0.94,port_scan
80,28.98,15,73,75.95,0.22,1.4,port_scan
113,25.95,22,98,58.18,0.11,3.03,port_scan
87,34.36,13,22,68.88,0.1,1.47,port_scan
50,26.45,9,96,44.89,0.38,2.12,port_scan
95,25.15,31,3,42.62,0.23,1.28,port_scan
109,12.78,23,66,52.36,0.56,0.98,port_scan
14,36.07,24,33,41.34,0.44,2.89,port_scan
100,38.49,25,62,46.89,0.53,2.48,port_scan
118,33.01,34,21,47.44,0.15,2.69,port_scan
79,41.75,18,95,73.98,0.34,2.56,port_scan
26,25.26,21,81,44.24,0.4,3.1,port_scan
79,22.96,13,101,72.53,0.21,1.09,port_scan
22,30.53,28,17,73.87,0.46,1.49,port_scan
37,24.8,30,63,38.25,0.29,2.16,port_scan
112,16.56,7,100,58.86,0.19,2.49,port_scan
38,25.54,9,109,52.6,0.43,2.4,port_scan
16,24.74,26,45,61.94,0.34,1.98,port_scan
81,23.67,16,104,50.32,0.5,2.7,port_scan
126,29.34,31,100,68.52,0.31,2.21,port_scan
41,20.59,26,78,61.83,0.37,1.59,port_scan
115,30.61,31,77,67.66,0.17,1.93,port_scan
31,25.87,33,73,67.95,0.39,1.05,port_scan
30,32.24,10,20,43.13,0.42,2.88,port_scan
93,38.65,25,100,75.97,0.42,1.51,port_scan
52,10.94,30,25,77.8,0.1,1.43,port_scan
10,22.04,34,98,66.24,0.31,2.16,port_scan
58,35.09,32,103,76.69,0.34,2.92,port_scan
88,10.74,10,76,74.12,0.42,2.07,port_scan
71,27.3,19,60,63.24,0.31,1.38,port_scan
53,28.56,28,43,52.09,0.5,2.41,port_scan
114,13.14,33,68,79.85,0.3,1.84,port_scan
47,23.31,24,15,68.81,0.37,2.25,port_scan
14,45.03,25,64,48.94,0.33,1.95,port_scan
31,16.18,26,36,56.84,0.23,2.04,port_scan
133,22.29,24,31,43.15,0.44,2.56,port_scan
19,39.11,27,108,58.8,0.44,2.71,port_scan
113,37.39,34,17,57.7,0.43,2.64,port_scan
71,11.1,35,52,65.99,0.12,1.61,port_scan
95,30.05,23,105,66.05,0.15,1.28,port_scan
59,32.8,32,23,73.1,0.54,1.15,port_scan
96,36.47,21,34,65.22,0.4,2.83,port_scan
83,14.97,10,63,51.31,0.32,1.48,port_scan
84,24.79,10,85,62.98,0.14,2.48,port_scan
60,25.01,24,43,54.48,0.45,2.81,port_scan
55,16.38,42,40,54.96,0.42,1.26,port_scan
110,10.36,31,36,78.41,0.33,1.63,port_scan
70,13.24,19,52,54.37,0.16,3.24,port_scan
17,26.13,32,63,41.77,0.46,1.42,port_scan
107,16.86,31,22,66.66,0.35,2.08,port_scan
94,9.21,11,69,53.41,0.24,1.83,port_scan
70,23.09,23,72,49.62,0.13,0.96,port_scan
50,35.6,38,14,45.02,0.37,0.99,port_scan
104,10.4,12,27,51.42,0.47,2.18,port_scan
41,0.32,27,55,70.51,0.34,2.75,port_scan
123,32.85,19,77,53.08,0.32,1.97,port_scan
93,10.05,21,102,59.69,0.39,1.44,port_scan
66,35.48,39,33,72.08,0.3,1.39,port_scan
30,21.47,33,28,51.9,0.36,2.33,port_scan
69,22.54,37,34,56.05,0.27,2.82,port_scan
69,26.9,31,36,61.63,0.48,1.91,port_scan
66,4.61,33,52,46.87,0.08,2.51,port_scan
127,36.14,28,84,78.81,0.11,1.9,port_scan
34,38.0,21,43,76.18,0.37,2.17,port_scan
28,31.1,14,31,68.56,0.43,1.38,port_scan
77,18.4,21,99,71.94,0.16,1.73,port_scan
44,23.92,13,29,73.07,0.35,1.3,port_scan
38,34.63,30,99,64.53,0.34,1.71,port_scan
37,2.38,30,75,81.83,0.29,1.44,port_scan
25,36.01,17,96,76.73,0.39,1.52,port_scan
85,21.53,41,99,64.02,0.33,0.78,port_scan
75,27.87,12,61,52.32,0.51,1.16,port_scan
62,17.6,32,43,58.98,0.27,2.54,port_scan
37,38.4,27,41,49.71,0.53,1.46,port_scan
59,27.63,19,69,53.72,0.29,2.26,port_scan
84,13.73,33,43,47.32,0.21,1.22,port_scan
117,20.73,36,45,72.03,0.5,1.59,port_scan
79,33.34,19,56,58.38,0.24,1.62,port_scan
73,21.63,30,57,39.02,0.37,1.9,port_scan
110,39.81,27,32,64.75,0.53,1.78,port_scan
113,26.72,18,20,72.31,0.23,0.98,port_scan
92,10.6,31,40,70.06,0.51,1.39,port_scan
18,30.8,17,62,48.03,0.12,1.59,port_scan
29,17.25,35,106,43.04,0.13,2.39,port_scan
24,24.35,20,58,49.56,0.29,1.15,port_scan
35,36.19,24,43,71.42,0.41,2.58,port_scan
116,13.21,17,41,40.03,0.47,1.71,port_scan
111,8.02,21,66,63.49,0.25,2.62,port_scan
117,16.94,31,100,84.19,0.21,1.95,port_scan
76,39.08,29,68,37.13,0.37,1.94,port_scan
38,36.12,4,13,71.52,0.35,1.36,port_scan
9,32.58,7,98,53.89,0.22,2.33,port_scan
72,19.86,31,42,47.47,0.48,1.35,port_scan
79,15.56,15,89,37.24,0.22,2.76,port_scan
47,10.32,31,59,43.62,0.37,2.21,port_scan
60,10.76,29,89,63.22,0.37,3.36,port_scan
101,20.46,11,45,49.37,0.27,1.54,port_scan
125,22.33,21,67,80.2,0.42,2.9,port_scan
38,39.73,40,28,78.0,0.39,2.31,port_scan
100,19.88,42,45,76.24,0.14,2.58,port_scan
64,38.71,24,64,62.36,0.28,1.9,port_scan
118,25.26,16,37,58.06,0.43,1.55,port_scan
62,20.97,34,45,74.13,0.46,2.41,port_scan
101,16.42,13,49,47.81,0.51,2.53,port_scan
28,9.29,19,43,42.63,0.15,1.36,port_scan
67,19.29,35,87,54.6,0.45,2.4,port_scan
80,19.31,40,79,66.21,0.17,3.02,port_scan
47,36.54,27,88,51.96,0.33,1.04,port_scan
53,29.53,30,25,52.96,0.41,3.0,port_scan
56,13.5,39,24,42.61,0.18,2.68,port_scan
95,5.06,26,77,80.8,0.26,1.48,port_scan
42,23.16,27,65,52.53,0.14,1.89,port_scan
122,8.81,29,48,51.05,0.11,1.39,port_scan
105,32.27,18,32,35.37,0.35,2.78,port_scan
89,30.84,39,37,72.45,0.51,2.27,port_scan
54,21.81,21,79,47.65,0.2,2.35,port_scan
23,13.59,28,60,55.95,0.24,2.5,port_scan
47,26.25,25,67,48.06,0.25,1.89,port_scan
62,31.06,20,61,49.18,0.14,1.26,port_scan
30,19.47,12,34,40.99,0.34,1.48,port_scan
83,29.57,32,50,63.9,0.07,2.85,port_scan
123,18.98,32,66,51.08,0.28,1.22,port_scan
101,9.53,36,24,62.69,0.17,2.23,port_scan
105,22.32,19,29,76.35,0.4,1.28,port_scan
66,18.67,29,23,42.03,0.48,1.46,port_scan
21,37.49,37,36,54.2,0.29,2.89,port_scan
87,16.58,31,90,75.67,0.37,1.31,port_scan
53,19.91,30,61,61.06,0.18,2.62,port_scan
81,16.84,24,66,63.65,0.23,0.96,port_scan
78,20.17,15,46,51.75,0.36,1.77,port_scan
77,35.57,30,78,51.17,0.24,1.32,port_scan
24,23.09,41,74,63.06,0.28,2.13,port_scan
79,33.91,26,67,49.93,0.14,3.17,port_scan
135,17.19,20,39,49.24,0.3,1.45,port_scan
97,20.22,9,19,46.17,0.41,2.61,port_scan
3236,469.91,4,4,973.63,0.05,0.76,ddos
787,214.62,5,3,915.39,0.09,0.69,ddos
2646,109.79,9,4,1081.04,0.06,1.93,ddos
2553,177.83,10,3,1372.82,0.08,0.74,ddos
2439,154.25,7,2,974.3,0.02,1.74,ddos
1297,322.9,8,3,1570.8,0.07,1.45,ddos
2239,480.8,0,1,1218.14,0.05,1.88,ddos
255,360.09,19,4,1376.07,0.07,1.42,ddos
2923,98.36,15,4,431.29,0.06,0.75,ddos
1856,344.49,12,1,958.9,0.02,1.22,ddos
71,261.26,16,3,1159.99,0.07,1.3,ddos
2605,217.73,11,2,1144.64,0.08,1.17,ddos
1310,224.99,7,3,810.24,0.05,0.89,ddos
2462,67.4,2,3,622.85,0.06,1.27,ddos
1944,219.23,12,4,942.68,0.07,0.74,ddos
1048,360.83,14,4,633.84,0.05,1.75,ddos
1964,297.21,15,4,572.94,0.04,1.52,ddos
0,482.44,0,4,840.21,0.08,1.57,ddos
371,80.81,2,4,1491.18,0.01,1.72,ddos
2448,84.3,6,3,885.87,0.1,1.51,ddos
853,47.16,17,3,588.45,0.06,1.19,ddos
1377,148.16,15,2,960.12,0.08,0.88,ddos
1232,310.6,12,2,1327.4,0.11,0.79,ddos
1397,227.69,18,4,1298.96,0.06,1.59,ddos
2415,279.21,16,3,1141.79,0.03,0.56,ddos
2113,292.74,5,2,545.9,0.11,1.04,ddos
1955,316.14,16,3,1150.56,0.09,0.98,ddos
506,337.39,4,2,494.85,0.07,1.77,ddos
2960,251.84,10,2,564.99,0.09,0.55,ddos
2211,120.37,0,2,1136.22,0.06,1.77,ddos
1265,131.22,2,4,592.54,0.04,0.83,ddos
305,491.44,3,4,843.49,0.09,0.9,ddos
2272,259.53,1,2,473.2,0.06,1.1,ddos
1922,369.04,7,1,525.98,0.03,1.26,ddos
564,432.88,4,1,753.36,0.03,0.63,ddos
2466,334.04,12,2,820.99,0.04,1.25,ddos
1165,210.84,6,1,738.13,0.08,2.03,ddos
1956,143.93,0,2,958.1,0.04,0.92,ddos
2910,283.9,13,4,918.13,0.07,1.6,ddos
2778,391.43,14,2,517.1,0.08,1.73,ddos
2373,111.95,7,3,936.14,0.04,1.77,ddos
3252,483.76,12,2,1348.97,0.1,1.87,ddos
1081,363.63,20,3,1259.48,0.03,1.43,ddos
1922,434.72,15,3,1441.88,0.06,1.24,ddos
2294,224.02,15,3,1342.8,0.03,0.63,ddos
1503,441.06,5,1,758.96,0.07,1.46,ddos
846,380.17,2,2,1242.36,0.02,0.83,ddos
1290,438.3,4,2,1203.86,0.07,0.78,ddos
577,397.39,16,2,1032.68,0.07,0.81,ddos
460,199.37,3,3,1399.75,0.03,0.54,ddos
2541,364.14,6,3,1154.17,0.05,1.99,ddos
1689,85.86,1,4,1151.94,0.09,0.64,ddos
766,235.61,3,2,1483.44,0.1,0.72,ddos
2528,485.78,5,4,588.33,0.01,1.22,ddos
2818,406.71,0,3,763.33,0.0,0.83,ddos
1000,112.6,10,3,691.69,0.03,0.79,ddos
1859,340.2,8,4,503.93,0.07,1.26,ddos
1404,558.17,21,4,1113.17,0.05,2.01,ddos
881,501.13,14,1,1200.16,0.01,0.69,ddos
971,281.05,17,2,1053.83,0.01,1.66,ddos
658,235.97,11,1,961.35,0.06,0.91,ddos
2180,221.72,3,2,690.77,0.03,1.79,ddos
2318,91.28,16,2,1022.09,0.05,1.68,ddos
672,322.83,20,4,987.05,0.05,1.94,ddos
709,147.03,6,3,1621.09,0.05,1.98,ddos
3158,567.52,2,3,1426.15,0.03,1.03,ddos
2600,403.28,13,3,550.19,0.06,1.76,ddos
897,279.41,2,5,1355.04,0.03,0.74,ddos
863,295.83,7,1,932.72,0.05,1.91,ddos
1416,66.68,17,3,1023.34,0.05,0.89,ddos
2715,281.9,1,2,688.41,0.07,0.85,ddos
1595,450.59,11,3,501.98,0.05,0.74,ddos
2529,299.01,5,4,977.0,0.05,1.85,ddos
24,560.39,3,4,1144.27,0.07,1.54,ddos
3002,474.54,10,1,1015.94,0.01,0.95,ddos
1931,356.04,1,2,1570.71,0.03,2.09,ddos
0,420.34,8,4,1614.14,0.02,0.87,ddos
2264,321.91,10,3,706.73,0.03,2.04,ddos
1224,157.66,7,3,1189.46,0.04,1.78,ddos
2131,381.9,13,3,364.85,0.0,0.43,ddos
991,394.72,4,3,1632.25,0.1,0.97,ddos
716,138.58,2,5,1031.25,0.02,1.63,ddos
2384,465.78,5,1,1278.57,0.04,1.11,ddos
1650,287.81,4,2,1026.72,0.04,1.9,ddos
390,230.3,18,3,1285.22,0.03,0.86,ddos
753,167.83,11,1,1534.18,0.07,1.72,ddos
2388,349.18,8,2,1299.18,0.05,0.78,ddos
1622,375.09,17,3,1259.76,0.04,1.86,ddos
874,143.56,14,4,928.13,0.03,0.56,ddos
3412,229.47,13,3,1437.62,0.09,1.39,ddos
2341,308.83,3,3,1301.2,0.05,0.55,ddos
1077,449.78,8,4,881.22,0.07,1.13,ddos
343,447.82,4,1,775.18,0.09,0.6,ddos
530,374.03,17,3,835.92,0.06,0.52,ddos
570,388.81,7,1,1139.81,0.05,0.37,ddos
1148,215.37,5,2,1285.99,0.03,0.56,ddos
629,243.91,0,4,1311.82,0.09,0.73,ddos
3290,182.69,6,3,1483.72,0.02,0.79,ddos
0,88.14,3,4,703.29,0.08,1.19,ddos
928,27.97,18,3,747.45,0.06,1.85,ddos
2423,487.97,0,2,1275.78,0.09,0.93,ddos
1326,281.82,17,3,1081.59,0.03,1.15,ddos
2846,140.82,11,2,788.97,0.01,1.01,ddos
2469,74.79,1,3,618.09,0.04,1.49,ddos
3273,138.92,15,3,602.06,0.06,0.69,ddos
568,261.54,1,4,666.39,0.09,0.49,ddos
2189,174.29,0,1,630.66,0.01,0.92,ddos
2014,66.35,13,2,1079.54,0.11,1.11,ddos
873,287.83,0,1,681.98,0.0,0.78,ddos
1659,435.39,2,1,1119.94,0.09,1.21,ddos
2190,286.09,16,3,1234.39,0.03,1.19,ddos
377,257.97,2,2,791.95,0.0,1.1,ddos
2440,436.45,2,2,1248.53,0.04,1.82,ddos
2218,360.07,8,2,1177.03,0.1,1.2,ddos
1459,331.54,7,2,1385.74,0.03,1.74,ddos
1902,169.12,3,3,739.12,0.08,1.82,ddos
759,489.59,20,4,1254.52,0.01,1.22,ddos
731,383.31,5,1,1146.86,0.1,1.66,ddos
0,272.7,3,4,553.79,0.05,1.07,ddos
1855,371.49,11,2,1289.05,0.07,0.69,ddos
2418,213.64,2,1,813.47,0.05,1.16,ddos
1087,433.38,14,4,1388.89,0.09,0.74,ddos
1333,134.53,12,3,997.14,0.04,1.8,ddos
356,366.52,18,3,1170.55,0.03,0.7,ddos
2051,287.53,7,1,475.76,0.07,0.5,ddos
1373,222.53,9,3,636.46,0.02,1.92,ddos
2657,147.59,17,4,953.69,0.07,0.79,ddos
1332,54.4,17,3,1554.65,0.04,1.48,ddos
2309,233.5,3,4,1081.34,0.07,0.61,ddos
965,147.75,10,3,738.84,0.1,1.88,ddos
2542,379.57,8,2,698.97,0.09,0.73,ddos
0,212.45,0,1,1105.15,0.07,1.44,ddos
2166,356.87,0,2,1050.6,0.03,2.1,ddos
2064,251.22,5,4,741.45,0.06,0.82,ddos
0,273.99,9,2,993.35,0.09,0.98,ddos
